bldg_id,in.building_america_climate_zone,in.state,in.heating_fuel,in.interior_lighting_generation,in.service_water_heating_fuel,in.comstock_building_type_group,in.vintage,in.sqft
4973,Mixed-Humid,AL,Electricity,gen4_led,Electricity,Mercantile,1,37500.0
5071,Mixed-Humid,AL,Electricity,gen1_t12_incandescent,Electricity,Office,4,7500.0
5101,Hot-Humid,AL,Electricity,gen4_led,Electricity,Office,1,7500.0
5104,Mixed-Humid,AL,Electricity,gen4_led,Electricity,Office,6,17500.0
5143,Hot-Humid,AL,NaturalGas,gen4_led,NaturalGas,Mercantile,4,3000.0
5179,Hot-Humid,AL,NaturalGas,gen2_t8_halogen,Electricity,Food Service,4,1000.0
5326,Very Cold,AK,NaturalGas,gen2_t8_halogen,NaturalGas,Office,4,7500.0
5334,Very Cold,AK,NaturalGas,gen2_t8_halogen,Electricity,Office,6,17500.0
5386,Very Cold,AK,Electricity,gen2_t8_halogen,Electricity,Office,1,3000.0
5465,Very Cold,AK,Electricity,gen2_t8_halogen,NaturalGas,Food Service,4,3000.0
5516,Very Cold,AK,NaturalGas,gen2_t8_halogen,Electricity,Warehouse and Storage,4,17500.0
5531,Very Cold,AK,NaturalGas,gen2_t8_halogen,Electricity,Office,0,3000.0
5596,Very Cold,AK,NaturalGas,gen1_t12_incandescent,NaturalGas,Warehouse and Storage,4,17500.0
5623,Subarctic,AK,DistrictHeating,gen1_t12_incandescent,DistrictHeating,Education,4,17500.0
5778,Very Cold,AK,DistrictHeating,gen2_t8_halogen,Electricity,Education,4,150000.0
5987,Mixed-Dry,AZ,NaturalGas,gen4_led,NaturalGas,Office,0,1000.0
6050,Hot-Dry,AZ,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,5,75000.0
6084,Hot-Dry,AZ,NaturalGas,gen4_led,NaturalGas,Warehouse and Storage,4,37500.0
6141,Hot-Dry,AZ,Electricity,gen2_t8_halogen,Electricity,Education,5,37500.0
6181,Hot-Dry,AZ,NaturalGas,gen3_t5_cfl,NaturalGas,Warehouse and Storage,2,3000.0
6282,Hot-Dry,AZ,Electricity,gen4_led,Electricity,Lodging,1,37500.0
6458,Hot-Dry,AZ,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,7,75000.0
6462,Mixed-Dry,AZ,Electricity,gen2_t8_halogen,Electricity,Lodging,1,37500.0
6481,Hot-Dry,AZ,Electricity,gen1_t12_incandescent,NaturalGas,Mercantile,1,17500.0
6483,Mixed-Dry,AZ,Electricity,gen1_t12_incandescent,Electricity,Mercantile,1,37500.0
6537,Hot-Dry,AZ,NaturalGas,gen2_t8_halogen,NaturalGas,Office,5,75000.0
6607,Hot-Dry,AZ,NaturalGas,gen1_t12_incandescent,NaturalGas,Warehouse and Storage,4,17500.0
6957,Hot-Dry,AZ,NaturalGas,gen4_led,NaturalGas,Office,4,7500.0
7137,Hot-Dry,AZ,NaturalGas,gen4_led,Electricity,Education,3,75000.0
7488,Hot-Dry,AZ,NaturalGas,gen4_led,Electricity,Warehouse and Storage,5,75000.0
7557,Hot-Dry,AZ,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,4,1000.0
7839,Hot-Dry,AZ,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,7,17500.0
7862,Cold,AZ,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,0,37500.0
7999,Hot-Dry,AZ,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,4,37500.0
8175,Hot-Dry,AZ,NaturalGas,gen1_t12_incandescent,Electricity,Office,1,1000.0
8232,Hot-Dry,AZ,NaturalGas,gen1_t12_incandescent,Electricity,Office,5,7500.0
8907,Cold,AZ,NaturalGas,gen2_t8_halogen,Electricity,Office,3,17500.0
9014,Hot-Dry,AZ,NaturalGas,gen4_led,NaturalGas,Mercantile,0,17500.0
9139,Hot-Dry,AZ,NaturalGas,gen1_t12_incandescent,Electricity,Mercantile,2,37500.0
9303,Mixed-Dry,AZ,NaturalGas,gen2_t8_halogen,Electricity,Warehouse and Storage,4,37500.0
