bldg_id,in.building_america_climate_zone,in.state,in.heating_fuel,in.interior_lighting_generation,in.service_water_heating_fuel,in.comstock_building_type_group,in.vintage,in.sqft
32211,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,Electricity,Education,4,150000.0
32228,Hot-Dry,CA,Electricity,gen2_t8_halogen,Electricity,Mercantile,0,75000.0
32233,Hot-Dry,CA,NaturalGas,gen3_t5_cfl,NaturalGas,Mercantile,1,37500.0
32235,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Lodging,6,350000.0
32254,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Warehouse and Storage,1,7500.0
32260,Hot-Dry,CA,Electricity,gen4_led,Electricity,Office,4,3000.0
32290,Hot-Dry,CA,NaturalGas,gen3_t5_cfl,Electricity,Warehouse and Storage,7,17500.0
32316,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Office,1,7500.0
32325,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Warehouse and Storage,5,75000.0
32333,Marine,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,1,17500.0
32351,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,2,17500.0
32398,Hot-Dry,CA,Electricity,gen2_t8_halogen,Electricity,Office,2,3000.0
32427,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Food Service,1,3000.0
32440,Marine,CA,NaturalGas,gen2_t8_halogen,Electricity,Warehouse and Storage,3,37500.0
32468,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Warehouse and Storage,2,75000.0
32508,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Mercantile,1,17500.0
32511,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,Electricity,Mercantile,4,75000.0
32518,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,Electricity,Office,2,7500.0
32524,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Food Service,4,3000.0
32560,Hot-Dry,CA,NaturalGas,gen1_t12_incandescent,Electricity,Warehouse and Storage,4,75000.0
32564,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Warehouse and Storage,1,17500.0
32571,Hot-Dry,CA,Electricity,gen4_led,Electricity,Warehouse and Storage,3,37500.0
32572,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Office,2,3000.0
32646,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,2,37500.0
32647,Hot-Dry,CA,Electricity,gen2_t8_halogen,NaturalGas,Warehouse and Storage,5,7500.0
32656,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Mercantile,0,37500.0
32658,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,2,17500.0
32679,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,0,37500.0
32709,Hot-Dry,CA,NaturalGas,gen3_t5_cfl,NaturalGas,Mercantile,0,3000.0
32710,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Office,6,17500.0
32716,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Warehouse and Storage,3,75000.0
32737,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Warehouse and Storage,3,75000.0
32818,Marine,CA,Electricity,gen2_t8_halogen,NaturalGas,Education,4,350000.0
32863,Hot-Dry,CA,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,1,37500.0
32892,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Mercantile,2,17500.0
32902,Hot-Dry,CA,Electricity,gen1_t12_incandescent,NaturalGas,Mercantile,1,150000.0
32909,Hot-Dry,CA,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,5,37500.0
32917,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Warehouse and Storage,5,75000.0
32923,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,Electricity,Warehouse and Storage,3,75000.0
32925,Hot-Dry,CA,NaturalGas,gen3_t5_cfl,NaturalGas,Food Service,0,17500.0
32958,Hot-Dry,CA,DistrictHeating,gen4_led,DistrictHeating,Office,5,7500.0
32983,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,Electricity,Office,5,350000.0
32986,Marine,CA,Electricity,gen4_led,Electricity,Warehouse and Storage,2,75000.0
32993,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,4,37500.0
32996,Hot-Dry,CA,Electricity,gen2_t8_halogen,NaturalGas,Lodging,2,37500.0
33014,Hot-Dry,CA,Electricity,gen3_t5_cfl,Electricity,Food Service,1,3000.0
33027,Hot-Dry,CA,NaturalGas,gen3_t5_cfl,NaturalGas,Warehouse and Storage,6,37500.0
33036,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,Electricity,Warehouse and Storage,2,37500.0
33047,Hot-Dry,CA,NaturalGas,gen1_t12_incandescent,NaturalGas,Warehouse and Storage,3,150000.0
33059,Marine,CA,Electricity,gen4_led,Electricity,Office,3,7500.0
33088,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Lodging,2,75000.0
33089,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Education,4,75000.0
33141,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,3,17500.0
33144,Hot-Dry,CA,Electricity,gen4_led,Electricity,Warehouse and Storage,4,37500.0
33146,Hot-Dry,CA,Electricity,gen4_led,NaturalGas,Office,5,17500.0
33147,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Food Service,2,17500.0
33155,Hot-Dry,CA,Electricity,gen4_led,Electricity,Warehouse and Storage,3,7500.0
33166,Hot-Dry,CA,DistrictHeating,gen2_t8_halogen,Electricity,Education,2,37500.0
33171,Hot-Dry,CA,Electricity,gen4_led,NaturalGas,Lodging,5,7500.0
33186,Marine,CA,Electricity,gen2_t8_halogen,NaturalGas,Food Service,0,3000.0
33188,Hot-Dry,CA,Propane,gen4_led,Propane,Warehouse and Storage,6,7500.0
33194,Hot-Dry,CA,Electricity,gen4_led,Electricity,Office,3,17500.0
33195,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,2,1000.0
